rmcase,type,adult,month,whtdy,wchma,nmcrb
1048,2,1,2,32,3,3
1049,2,1,2,15,4,3
1049,2,1,2,32,4,5
1049,2,1,3,32,4,3
1050,2,1,3,32,7,4
1051,2,1,3,32,4,1
1052,2,1,2,32,5,5
1053,2,1,3,32,9,4
1054,2,1,3,32,3,2
1055,2,1,2,32,3,3
1056,2,1,3,32,4,5
1056,2,1,3,32,4,5
1057,2,1,2,32,6,5
1057,2,1,2,32,6,5
1058,2,1,2,32,4,5
1058,2,1,3,32,4,7
1059,2,1,2,32,9,1
1059,2,1,2,32,9,5
1059,2,1,3,32,9,3
1059,2,1,3,32,9,4
1060,2,1,3,32,8,1
1061,2,1,2,32,5,2
1062,2,1,3,32,4,4
1063,2,1,3,32,6,2
1063,2,1,3,32,6,3
1063,2,1,3,32,6,5
1064,2,1,2,32,4,5
1064,2,1,2,32,4,5
1064,2,1,2,32,4,5
1064,2,1,3,32,4,3
1064,2,1,3,32,4,5
1065,2,1,3,32,7,4
1066,2,1,2,32,5,5
1066,2,1,2,32,5,5
1066,2,1,3,32,5,5
1067,2,1,3,32,4,2
1067,2,1,3,32,4,3
1068,2,1,6,32,10,1
1069,2,1,3,32,9,4
1069,2,1,3,32,9,4
1069,2,1,3,32,9,4
1070,2,1,6,32,5,4
1071,2,1,3,32,5,1
1071,2,1,3,32,5,3
1072,2,1,6,32,6,2
1072,2,1,6,32,6,3
1073,2,1,2,32,7,32
1073,2,1,3,32,7,4
1073,2,1,4,32,7,2
1074,2,1,2,32,6,5
1075,2,1,2,32,6,40
1075,2,1,3,32,6,20
1076,2,1,2,32,4,4
1076,2,1,3,32,4,5
1076,2,1,4,1,4,2
1077,2,1,3,32,4,5
1078,2,1,3,32,15,1
1079,2,1,2,32,8,4
1079,2,1,3,32,8,4
1079,2,1,4,32,8,2
1080,2,1,3,32,4,1
1080,2,1,3,32,4,2
1081,2,1,3,32,4,4
1081,2,1,3,32,4,4
1082,2,1,3,32,12,5
1083,2,1,2,32,15,3
1083,2,1,2,32,15,3
1084,2,1,3,32,6,4
1084,2,1,3,32,6,4
1084,2,1,3,32,6,5
1084,2,1,3,32,6,5
1085,2,1,3,32,6,3
1086,2,1,2,32,5,3
1087,2,1,2,32,10,1
1087,2,1,2,32,10,1
1088,2,1,2,32,7,4
1088,2,1,3,32,7,5
1088,2,1,4,32,7,5
1089,2,1,2,32,6,4
1089,2,1,2,32,6,5
1089,2,1,3,32,7,4
1089,2,1,3,32,6,5
1090,2,1,3,32,8,5
1091,2,1,2,32,4,7
1092,2,1,6,32,8,4
1093,2,1,2,32,13,2
1094,2,1,3,32,7,1
1094,2,1,3,32,7,2
1095,2,1,4,32,10,5
1096,2,1,2,32,7,5
1097,2,1,2,32,8,5
1098,2,1,3,32,4,5
1099,2,1,3,32,4,4
1099,2,1,3,32,4,4
1100,2,1,2,32,7,4
1100,2,1,2,32,7,4
1101,2,1,2,14,6,5
1101,2,1,2,14,6,5
1101,2,1,4,8,4,5
1101,2,1,4,32,4,3
1101,2,1,4,32,4,5
1102,2,1,3,32,8,5
1103,2,1,2,32,10,5
1103,2,1,2,32,10,5
1104,2,1,4,32,4,5
1104,2,1,4,32,4,5
1105,2,1,4,32,4,4
1106,2,1,2,32,4,3
1106,2,1,3,32,4,1
1107,2,1,2,32,9,5
1108,2,1,2,32,4,4
1108,2,1,3,32,4,4
